"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Sirmaur","R","S",0.5631268507382358,0.43687314926176424,27,1,9,26.0,1
"Kullu","S","I",0.4300396265774742,0.5699603734225258,27,1,5,26.0,1
"Shimla","I","I",0.023603441951468677,0.9763965580485313,27,1,8,26.0,1
"Bilaspur","R","S",0.7804883291271435,0.21951167087285658,27,1,0,26.0,1
"Kinnaur","S","S",0.0,1.0,27,1,4,26.0,1
"Lahul-Spiti","S","S",0.7513323271364745,0.24866767286352548,27,1,6,26.0,1
"Solan","I","I",0.14198292578554664,0.8580170742144534,27,1,10,26.0,1
"Kangra","I","I",0.0,1.0,28,1,3,27.0,1
"Hamirpur","I","R",0.2898963203150034,0.7101036796849967,28,1,2,27.0,1
"Mandi","I","R",0.3428382569334913,0.6571617430665087,28,1,7,27.0,1
"Chamba","R","S",0.4923649450627159,0.5076350549372841,28,1,1,27.0,1
"Una","I","I",0.3579015952659557,0.6420984047340442,28,1,11,27.0,1
"Sirmaur","R","S",0.5929403047346692,0.40705969526533065,28,1,9,27.0,1
"Kullu","S","S",0.5258461821595939,0.47415381784040617,28,1,5,27.0,1
"Shimla","I","I",0.08461046983239269,0.9153895301676073,28,1,8,27.0,1
"Bilaspur","R","R",0.6575250792598738,0.3424749207401262,28,1,0,27.0,1
"Kinnaur","S","S",0.0,1.0,28,1,4,27.0,1
"Lahul-Spiti","S","S",0.6971682948874153,0.30283170511258467,28,1,6,27.0,1
"Solan","I","I",0.23284111172277042,0.7671588882772296,28,1,10,27.0,1
"Kangra","I","I",0.0,1.0,29,1,3,28.0,1
"Hamirpur","I","R",0.26387191191588993,0.7361280880841101,29,1,2,28.0,1
"Mandi","I","I",0.14512949418843632,0.8548705058115637,29,1,7,28.0,1
"Chamba","S","S",0.246423408941287,0.753576591058713,29,1,1,28.0,1
"Una","I","R",0.25780481456466325,0.7421951854353368,29,1,11,28.0,1
"Sirmaur","S","S",0.3149427875741112,0.6850572124258889,29,1,9,28.0,1
"Kullu","S","S",0.533619038797194,0.46638096120280603,29,1,5,28.0,1
"Shimla","I","I",0.0,1.0,29,1,8,28.0,1
"Bilaspur","R","S",1.0,0.0,29,1,0,28.0,1
"Kinnaur","S","S",0.0,1.0,29,1,4,28.0,1
"Lahul-Spiti","S","I",0.7097500263155307,0.29024997368446914,29,1,6,28.0,1
"Solan","I","I",0.12293380110017232,0.8770661988998276,29,1,10,28.0,1
"Kangra","I","I",0.0,1.0,30,1,3,29.0,1
"Hamirpur","I","I",0.0,1.0,30,1,2,29.0,1
"Mandi","I","I",0.0,1.0,30,1,7,29.0,1
"Chamba","S","I",0.5729872639376618,0.4270127360623382,30,1,1,29.0,1
"Una","I","I",0.0,1.0,30,1,11,29.0,1
"Sirmaur","S","S",0.6896906947936785,0.3103093052063215,30,1,9,29.0,1
